,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
873,Endothelial,Myofibroblasts,App,Lrp1,0.27789107,0.0,0.052311823,0.44125473,0.27060562,0.07707117,0.9376827,0.0,1.0,1.644416364549407e-08,0.00028480102206077617
689,Myofibroblasts,Endothelial,Lgals3,Eng,0.258841,0.0,0.061025403,0.8612662,0.3710757,0.21189913,0.94203526,0.0,1.0,6.520650573820369e-09,0.0002867048079569547
386,undefined,AT2,Ccl5,Sdc4,0.25874117,0.0,0.0512078,0.49581227,0.7431305,0.14361747,0.9370566,0.0,1.0,1.0142697854114026e-08,0.0003041228982850838
1281,undefined,undefined,H2-K1,Cd3g,0.2566743,0.0,0.05223679,0.62099254,0.28035533,0.12169351,0.9376407,0.0,1.0,6.520650573820369e-09,0.0003100425123602158
686,Myofibroblasts,Endothelial,Gnai2,Cav1,0.25615758,0.0,0.0564759,0.83344615,0.38554737,0.10706731,0.93988335,0.0,1.0,6.520650573820369e-09,0.0003140204659835141
122,Myofibroblasts,AT1,Pf4,Sdc2,0.34353974,0.0,0.047362868,2.0078182,0.6704586,0.515807,0.9347151,0.0,1.0,6.520650573820369e-09,0.0003680291778325207
369,Neutrophils,AT2,Ltf,Ager,0.24728909,0.0,0.06085087,2.257377,0.4657462,0.34542456,0.941957,0.0,1.0,6.520650573820369e-09,0.00038109776461097106
672,Endothelial,Endothelial,Timp3,Kdr,0.25690162,0.0,0.046213504,0.95459473,0.49250847,0.20747796,0.9339615,0.0,1.0,6.520650573820369e-09,0.00039216147204899264
1283,undefined,undefined,H2-K1,Cd8b1,0.2479071,0.0,0.045687966,0.5556827,0.2654453,0.10901595,0.93360794,0.0,1.0,6.520650573820369e-09,0.0004101908475225361
924,Neutrophils,Myofibroblasts,Mmp9,Cd44,0.2404015,0.0,0.053545628,2.3280127,0.39483613,0.1948463,0.93836033,0.0,1.0,6.520650573820369e-09,0.00043329409338185545
659,Endothelial,Endothelial,Col4a1,Itga1_Itgb1,0.2399515,0.0,0.053455744,0.5922963,0.31175494,0.09444457,0.93831176,0.0,1.0,6.520650573820369e-09,0.0004403477744484287
586,AT1,Endothelial,Col1a1,Itga1_Itgb1,0.2390081,0.0,0.05288188,1.0260046,0.35420462,0.21745516,0.9379986,0.0,1.0,6.520650573820369e-09,0.00045702653894698884
1003,AT1,Neutrophils,Cfh,Itgam,0.23297298,0.0,0.04653682,1.4134336,0.43225288,0.2165237,0.9341762,0.0,1.0,6.520650573820369e-09,0.0005216734443109484
227,AT1,AT2,Gpc3,Lrp2,0.419312,0.0,0.040438205,1.5139161,0.8004978,0.29653183,0.92972344,0.0,1.0,6.520650573820369e-09,0.0005242446960142263
749,AT1,Myofibroblasts,Calr,Lrp1,0.23282406,0.0,0.04149061,0.48254967,0.23562935,0.076128855,0.93055815,0.0,1.0,1.3262325270441205e-08,0.0005242446960142263
693,Myofibroblasts,Endothelial,Gnai2,S1pr1,0.2306081,0.0,0.04827196,0.8816112,0.36508527,0.14335662,0.9352928,0.0,1.0,6.520650573820369e-09,0.0005476685770203603
179,undefined,AT1,Ccl5,Dpp4,0.2417121,0.0,0.038122755,0.65789056,0.7576459,0.24630256,0.9277726,0.0,1.0,6.520650573820369e-09,0.0006070674839559151
671,Endothelial,Endothelial,Efnb2,Pecam1,0.2650827,0.0,0.038067553,1.3034893,0.49780187,0.48844004,0.927724,0.0,1.0,6.520650573820369e-09,0.0006126179603253558
1129,Neutrophils,Neutrophils,Mmp9,Itgam,0.22528525,0.0,0.044307407,2.808332,0.4456365,0.3225622,0.9326506,0.0,1.0,6.520650573820369e-09,0.0006266038964194064
1084,Endothelial,Neutrophils,App,Fpr2,0.25744343,0.0,0.03449272,0.5233252,0.24210887,0.13458389,0.92434734,0.0,1.0,7.608482887661024e-09,0.0006988840856555624
589,AT1,Endothelial,Col6a1,Itga1_Itgb1,0.22029214,0.0,0.041497093,0.5833472,0.27082717,0.12145895,0.9305632,0.0,1.0,6.520650573820369e-09,0.0007018567381259373
706,Neutrophils,Endothelial,Selplg,Esam,0.22024101,0.0,0.047571126,1.0471317,0.40342087,0.2584611,0.9348488,0.0,1.0,6.520650573820369e-09,0.0007048356529491598
660,Endothelial,Endothelial,Vwf,Itgb1,0.21962193,0.0,0.041089408,0.747351,0.29913718,0.17350194,0.93024355,0.0,1.0,6.520650573820369e-09,0.0007108122684811699
829,Alveolar fibroblast,Myofibroblasts,Scgb3a2,Marco,0.21797293,0.0,0.03498959,0.3508023,0.32336417,0.10616334,0.92484593,0.0,1.0,3.7890616980010114e-08,0.0007319276438524932
1138,Neutrophils,Neutrophils,Camp,Fpr2,0.25191328,0.0,0.033617165,2.9053223,0.89114136,0.6055422,0.92344344,0.0,1.0,6.520650573820369e-09,0.000734969166076537
889,Myofibroblasts,Myofibroblasts,Spp1,Cd44,0.21653634,0.0,0.04518182,0.52912736,0.49292296,0.10132319,0.9332618,0.0,1.0,6.520650573820369e-09,0.0007441312863404936
213,AT1,AT2,Col1a2,Sdc1,0.26646802,0.0,0.033310305,1.1997002,0.57016736,0.435437,0.92311865,0.0,1.0,6.520650573820369e-09,0.000753349730835378
944,Neutrophils,Myofibroblasts,Mmp9,Lrp1,0.21281467,0.0,0.03668608,2.488503,0.40737745,0.29928014,0.92647487,0.0,1.0,6.520650573820369e-09,0.0007813429305521467
678,Myofibroblasts,Endothelial,Cd14,Itgb1,0.21246365,0.0,0.036735076,0.6283674,0.2693536,0.113268435,0.92652035,0.0,1.0,6.520650573820369e-09,0.0007876324511553451
856,Endothelial,Myofibroblasts,Lpl,Cd44,0.21206981,0.0,0.043616474,0.23733932,0.20227236,0.070808314,0.9321553,0.0,1.0,1.0070465606661677e-07,0.0007907865928193644
1045,AT2,Neutrophils,Hc,C5ar1,0.25162366,0.0,0.032302905,0.40013736,0.40577218,0.191755,0.9220218,0.0,1.0,2.4086014629409414e-08,0.0007939469883341927
595,AT1,Endothelial,Col14a1,Itga1_Itgb1,0.210155,0.0,0.03533074,0.82949305,0.27912283,0.14715193,0.9251824,0.0,1.0,6.520650573820369e-09,0.0008162448401411509
701,Neutrophils,Endothelial,Bst1,Cav1,0.22103365,0.0,0.031765137,0.9176023,0.38039213,0.16034903,0.92141616,0.0,1.0,6.520650573820369e-09,0.0008323594281930914
669,Endothelial,Endothelial,Col4a1,Cd47,0.20633484,0.0,0.04163904,0.46449426,0.23624459,0.077394135,0.9306734,0.0,1.0,1.3910879792355208e-08,0.0008584677559688756
662,Endothelial,Endothelial,Cxcl12,Itgb1,0.20446098,0.0,0.03186711,0.6125973,0.289134,0.11174944,0.92153215,0.0,1.0,6.520650573820369e-09,0.0008849759363447288
1142,Neutrophils,Neutrophils,Selplg,Sell,0.20327917,0.0,0.041137036,1.2131027,0.3706702,0.20769326,0.9302811,0.0,1.0,6.520650573820369e-09,0.0009017465325762305
1014,AT1,Neutrophils,Csf1,Csf3r,0.25829467,0.0,0.030169142,3.5918405,0.45410815,0.4125063,0.9195295,0.0,1.0,6.520650573820369e-09,0.0009152754013100989
661,Endothelial,Endothelial,Col4a2,Itga1_Itgb1,0.20221697,0.0,0.030502098,0.50529426,0.24958599,0.10817788,0.91993463,0.0,1.0,9.531787186799717e-09,0.0009152754013100989
673,Endothelial,Endothelial,Col4a1,Cd93,0.20209435,0.0,0.040148452,0.95248973,0.3791567,0.24966161,0.9294882,0.0,1.0,6.520650573820369e-09,0.000918673226017657
619,AT1,Endothelial,Col1a1,Cd93,0.20115095,0.0,0.039717447,1.3861979,0.4216064,0.5748367,0.92913365,0.0,1.0,6.520650573820369e-09,0.0009254876024113469
1081,Endothelial,Neutrophils,Icam2,Itgal_Itgb2,0.19836032,0.0,0.03902918,0.9160081,0.34870493,0.22724886,0.92855597,0.0,1.0,6.520650573820369e-09,0.0009668980931637475
646,Alveolar fibroblast,Endothelial,Sema3e,Nrp1,0.194105,0.0,0.03185787,0.8669272,0.30902642,0.22221732,0.92152166,0.0,1.0,6.520650573820369e-09,0.0010127731699008152
1148,Neutrophils,Neutrophils,Ltf,Treml2,0.19280352,0.0,0.032012846,3.484223,0.47178623,0.8239132,0.92169696,0.0,1.0,6.520650573820369e-09,0.0010306980186010142
943,Neutrophils,Myofibroblasts,Ltf,Lrp1,0.19234799,0.0,0.03177175,2.3925052,0.41698173,0.33615547,0.92142373,0.0,1.0,6.520650573820369e-09,0.0010379115915058747
