"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ephb4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Eps8","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Eps8l2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Erbb3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Erlin1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ero1lb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Esam","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Espn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Esrp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Esrp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ethe1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ets1","Single-cell sequencing","2","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Etv1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Etv5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Etv5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Etv6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Evi5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Exosc8","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","Ezh2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Ezr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Wnt2+ cell","Ezr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","F11r","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Wnt2+ cell","F11r","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","F13a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","F13a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","F2r","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Fabp12","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Fabp5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fam101a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fam115a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fam117a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Fam162b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fam173a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Fam198b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fam49a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fam64a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fam73a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fam73a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fancc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Fank1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Fasn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fblim1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Fbln1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fbln1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fbn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fcer1g","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fcer1g","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fcgr1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fcgr1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fcgr2b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fcgr2b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fermt1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fermt3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fermt3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fes","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Fgd5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fgf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fgf10","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fgf7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fgfr2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fhl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Figf","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Fkbp1a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fkbp4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Fkbp7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fktn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Fli1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Flrt3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Flt1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Flt4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Fltp","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fmo2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fmod","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fnbp1l","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Foxa1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Foxa2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Foxe1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Foxj1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Foxp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fras1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Frem2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Frk","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Frmd6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Fstl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Fstl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fth1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fth1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Fxyd1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Fxyd3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Wnt2+ cell","Fxyd3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Fxyd5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fxyd6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fyb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Fyb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Fyb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Fyttd1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","G0s2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gamt","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gap43","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gas7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.B","Gata1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gata2","Single-cell sequencing","2","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gata6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gba","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gca","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gchfr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gcnt1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Gem","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gfm2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gfra2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gga2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Ghr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Ghr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gimap1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gimap4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gimap5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gimap6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gja1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.E","Gli1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Glrx","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm10108","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Gm11206","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Gm11206","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm11744","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm12115","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Gm12158","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gm12924","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Gm13305","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm13433","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm13772","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gm14420","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gm15844","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm16136","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gm16559","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gm22353","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm22504","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm23455","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm28048","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm2a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm4952","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm5514","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gm5555","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gm684","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gmfg","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gnai2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Gnas","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gnat3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gnb3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gne","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gng12","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gng13","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Gnpat","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gnpda2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gpihbp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesothelial cell","Gpm6a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Wnt2+ cell","Gpm6a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gpm6b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Gpr116","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gpr137b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gpr153","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gpr56","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gpr85","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gprc5a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Gps1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gpx3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Grap","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Grb7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Grhl2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gria3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gsn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Gsta3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gsta4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gstm2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Gstm5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gstm7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Gtf2f2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Gucy1a3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Gucy1b3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Guk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gulp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Gyg","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Gyltl1b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Gypc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Gypc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","H2-T23","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","H2afj","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","H2afv","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","H2afx","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","H2afx","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","H2afz","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","H6pd","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Habp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hacd1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hap1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Harbi1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Has1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Hba-a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Hbb-a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Hbb-bs","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Hbb-bt","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Hc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hck","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hdlbp","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Heg1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hes1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hes6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Hexa","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Hexa","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Hey1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Hhip","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Hhip","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Hibadh","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hid1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hipk2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Hist1h2ab","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","Hist1h2ap","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Hivep3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hmga1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hmga2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Hmgb1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Hmgb2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","Hmgb2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","Hmgb3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hmgn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hmgn3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hmx2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Hnrnpa3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hopx","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type I pneumocyte","Hopx","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hoxa5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Hoxb5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Hp","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hpgds","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Hpn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Hs6st2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Hsd11b1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Hsp90b1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Htatsf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Htra3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Htra3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ica1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Icam1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Icam2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Id2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Id2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Ier3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ifi203","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ifi203","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ifi204","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ifi204","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Ifitm1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Igf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Igf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Igfbp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Igfbp3","Single-cell sequencing","1","DETAIL"
